Driver,Constructor,Season,Race,Odds
NOR,MCL,2026,1,
PIA,MCL,2026,1,
RUS,MER,2026,1,
ANT,MER,2026,1,
VER,RED,2026,1,
HAD,RED,2026,1,
HAM,FER,2026,1,
LEC,FER,2026,1,
ALB,WIL,2026,1,
SAI,WIL,2026,1,
LAW,VRB,2026,1,
LIN,VRB,2026,1,
ALO,AST,2026,1,
STR,AST,2026,1,
OCO,HAA,2026,1,
BEA,HAA,2026,1,
HUL,KCK,2026,1,
BOR,KCK,2026,1,
GAS,ALP,2026,1,
COL,ALP,2026,1,
BOT,CAD,2026,1,
PER,CAD,2026,1,
,MCL,2026,1,
,MER,2026,1,
,RED,2026,1,
,FER,2026,1,
,WIL,2026,1,
,VRB,2026,1,
,AST,2026,1,
,HAA,2026,1,
,KCK,2026,1,
,ALP,2026,1,
,CAD,2026,1,
